id,label
352858525-716712435_135_2024-7-12-20-3-47,1
283036802-126001728_823_2024-7-14-18-21-55,0
118499127-484252601_137_2024-7-13-16-3-37,0
114445746-639771012_447_2024-7-12-21-21-9,0
253707971-484317354_137_2024-7-14-8-48-39,1
692523085-717124415_137_2024-7-13-14-31-29,0
166504437-33021741_137_2024-7-14-17-21-18,0
534082438-715963316_134_2024-7-13-11-46-24,1
172151450-493021910_134_2024-7-12-20-3-25,0
170500540-600720724_337_2024-7-12-20-28-41,0
113433411-453001942_332_2024-7-12-18-6-52,0
97510597-3002583_134_2024-7-14-18-2-44,0
561459788-716938043_137_2024-7-13-1-49-47,1
690524015-717124413_137_2024-7-14-23-8-23,0
87497061-436037225_137_2024-7-13-10-14-35,0
42928843-110163951_179_2024-7-12-23-8-14,1
191197354-470711813_135_2024-7-13-19-43-29,0
84925614-110001232_134_2024-7-13-22-40-59,1
153620218-43098749_134_2024-7-14-12-4-32,0
127534148-497765481_134_2024-7-13-16-34-18,0
603527336-126053891_173_2024-7-12-15-57-2,0
117586336-123053702_103_2024-7-13-23-25-51,0
144416749-649904937_134_2024-7-14-0-1-39,0
115074602-10601413_137_2024-7-14-12-42-21,0
352858525-716712435_137_2024-7-14-12-7-45,0
562455016-716938052_137_2024-7-13-9-10-6,1
240642401-699875811_135_2024-7-13-20-9-37,0
162414090-643701194_137_2024-7-13-17-52-20,0
111291551-649742774_332_2024-7-12-18-4-13,0
59480964-627717280_134_2024-7-12-15-29-10,0
638532511-717149764_137_2024-7-13-23-54-9,0
81420111-436244891_137_2024-7-12-21-15-42,1
170177573-633702087_134_2024-7-13-8-51-3,0
141078879-15702360_134_2024-7-13-17-10-11,0
579210989-710001480_137_2024-7-14-15-32-27,0
719118845-717153109_137_2024-7-15-9-5-42,0
142519997-7789633_137_2024-7-13-20-42-36,0
486003290-501322729_137_2024-7-14-17-15-36,0
90420080-464037213_137_2024-7-13-11-57-15,0
128152379-633703265_137_2024-7-13-18-20-4,0
106413145-436007199_134_2024-7-12-16-7-7,0
166180031-620016126_137_2024-7-14-13-34-37,0
684522356-717124338_137_2024-7-15-0-39-26,0
148863856-123002077_173_2024-7-14-14-56-56,0
579552886-34101303_608_2024-7-13-22-52-53,0
199410282-695902009_135_2024-7-12-18-51-13,0
205452466-479001753_137_2024-7-14-17-20-58,0
115455542-624716790_135_2024-7-14-12-52-32,1
136440703-403096457_137_2024-7-14-17-43-4,0
173921112-110014132_134_2024-7-14-16-37-51,0
253010442-600020619_135_2024-7-13-20-3-1,0
135488869-660044021_137_2024-7-13-21-12-15,0
87497061-436037225_137_2024-7-12-19-4-57,1
137720389-484350732_137_2024-7-15-1-22-21,0
52184065-99001600_134_2024-7-12-16-40-34,1
141662092-484225662_821_2024-7-13-14-51-43,0
218237149-470701408_134_2024-7-12-21-5-59,0
51928593-717193380_137_2024-7-14-2-13-56,0
654547939-44610115_134_2024-7-14-11-3-2,0
521448413-716878867_135_2024-7-13-13-20-53,0
375784461-717151921_191_2024-7-13-0-51-25,0
187410351-479100400_134_2024-7-13-18-37-31,1
126486557-663727967_182_2024-7-13-21-5-28,0
561459788-716938043_137_2024-7-14-11-47-53,1
41452319-479001495_182_2024-7-14-17-52-52,0
685527061-717124339_137_2024-7-15-0-39-36,0
561459788-716938043_137_2024-7-14-2-39-22,0
50280193-456001355_137_2024-7-12-22-0-57,0
141662092-484225662_137_2024-7-14-21-32-54,0
50792867-485143140_821_2024-7-13-14-1-44,0
143494696-34182440_134_2024-7-14-10-18-57,0
482130077-714148132_134_2024-7-14-15-0-51,0
100598880-715324286_135_2024-7-12-17-49-34,0
159513687-130962375_175_2024-7-15-2-55-44,0
103453960-30702530_301_2024-7-14-21-32-25,0
4627645-70031533_134_2024-7-13-18-58-50,1
241478525-400944364_137_2024-7-13-14-26-21,0
50930665-717193378_137_2024-7-14-2-49-8,0
102600523-715324300_135_2024-7-14-18-6-54,0
192497367-692903299_137_2024-7-13-12-4-57,0
241020898-623701690_137_2024-7-14-13-57-15,0
719118845-717153109_191_2024-7-14-10-34-40,1
169425211-406001866_134_2024-7-13-16-25-22,0
20421881-409753670_134_2024-7-12-21-42-47,0
117587375-716646380_134_2024-7-14-16-48-18,1
79504269-3004071_134_2024-7-13-21-23-59,0
98522125-493703774_134_2024-7-14-10-28-37,0
515448317-716876544_447_2024-7-14-12-40-16,0
708559646-699602468_137_2024-7-12-18-39-36,0
531134393-717151960_134_2024-7-14-4-29-45,0
216465139-476125965_301_2024-7-14-22-21-16,0
57812661-50001977_103_2024-7-12-16-16-20,1
175877002-37724116_134_2024-7-13-5-58-13,0
579210989-710001480_135_2024-7-13-19-41-16,0
218518236-649905879_137_2024-7-13-6-39-13,0
97510597-3002583_134_2024-7-14-18-43-14,1
158502652-690604319_137_2024-7-13-14-22-15,0
161650889-93002729_134_2024-7-14-13-22-16,0
768444433-716876546_137_2024-7-12-16-30-56,1
506863760-715640710_134_2024-7-15-1-41-8,0
152876718-99002167_134_2024-7-14-15-23-42,1
360690209-715532119_137_2024-7-12-20-52-34,1
234447968-30002678_134_2024-7-12-15-9-28,0
197452030-633073244_134_2024-7-13-21-10-55,0
708559646-699602468_103_2024-7-12-22-56-26,0
241440432-691322426_137_2024-7-15-2-23-50,0
444036245-126001395_301_2024-7-14-21-57-36,1
94455632-479002692_137_2024-7-14-12-38-21,0
116815246-70002571_137_2024-7-13-17-40-40,0
142519997-7789633_134_2024-7-13-5-18-28,0
91415462-483080731_137_2024-7-14-14-22-33,0
98493148-683717925_137_2024-7-13-12-7-43,0
573134621-717151969_191_2024-7-12-19-2-46,1
91096662-433716395_134_2024-7-13-15-9-59,1
648524331-717124416_137_2024-7-14-2-45-53,0
226531525-490001956_447_2024-7-13-15-48-13,0
28524163-493002361_134_2024-7-15-9-52-21,1
95770142-53010997_137_2024-7-13-17-33-33,0
164660987-484233565_134_2024-7-14-0-7-58,0
485490911-81739428_137_2024-7-14-8-40-34,0
136440703-403096457_182_2024-7-13-8-2-5,0
565526857-717165751_134_2024-7-12-15-59-58,1
6283164-666001102_135_2024-7-13-19-22-9,0
144910421-81691461_137_2024-7-14-17-21-28,0
170500540-600720724_137_2024-7-13-12-6-4,0
186142683-609010279_137_2024-7-13-20-3-16,0
252452355-630809008_137_2024-7-14-13-24-7,0
134527512-490715269_182_2024-7-14-7-27-15,0
67116472-9903564_301_2024-7-14-22-6-2,0
255426600-630069510_137_2024-7-14-19-41-28,1
768520862-717107864_137_2024-7-14-12-52-58,0
457435547-715396606_103_2024-7-14-23-10-21,0
558455187-716937986_135_2024-7-13-1-18-15,0
90420080-464037213_332_2024-7-12-20-59-32,0
221422261-639001226_137_2024-7-13-20-54-14,0
516534015-442009406_137_2024-7-13-11-11-35,0
432141516-714469263_137_2024-7-15-4-55-48,0
91096662-433716395_135_2024-7-14-1-0-35,1
100035772-13613162_137_2024-7-12-18-12-19,0
1923058-110001334_137_2024-7-12-22-1-22,0
92415719-21769366_134_2024-7-13-23-23-52,1
332023506-675711168_301_2024-7-14-22-23-45,1
590131256-717152023_134_2024-7-13-15-45-7,0
152762804-43021013_134_2024-7-13-23-59-28,0
437234139-406841274_135_2024-7-14-18-27-42,0
532529012-660754012_131_2024-7-12-15-5-11,0
15454534-691304497_134_2024-7-14-21-37-31,0
485211948-714891550_192_2024-7-14-19-3-14,0
570533196-717179530_135_2024-7-14-23-22-41,0
238428447-715402945_447_2024-7-13-13-50-8,0
75818393-711200603_821_2024-7-14-18-12-56,0
263145981-717146899_135_2024-7-12-18-32-35,0
2418246-433036303_134_2024-7-14-19-0-51,1
761491380-716994994_137_2024-7-14-15-21-9,0
50792867-485143140_134_2024-7-12-20-45-18,0
49473289-620015666_134_2024-7-13-17-9-29,0
196517429-683701702_447_2024-7-14-17-57-38,0
129662871-701049701_137_2024-7-12-21-45-47,1
82494706-497015428_135_2024-7-13-20-32-28,1
221441694-480746785_137_2024-7-14-6-1-10,0
180496385-606734608_137_2024-7-12-21-33-18,0
108475820-669042650_130_2024-7-13-9-26-7,0
2462569-633105414_137_2024-7-13-20-10-10,1
121435343-400128430_137_2024-7-13-17-18-57,1
38099493-36006722_137_2024-7-14-15-48-20,0
52184065-99001600_176_2024-7-13-16-33-34,0
164532474-490001811_435_2024-7-14-16-24-42,0
167531637-30004627_134_2024-7-14-15-52-29,0
124418750-433001683_134_2024-7-13-13-56-51,0
244868371-96226977_137_2024-7-13-5-15-28,0
280158755-501269733_134_2024-7-13-8-38-40,0
241020898-623701690_137_2024-7-13-19-47-25,0
643208997-716637785_137_2024-7-15-0-27-10,0
559460018-716938001_135_2024-7-13-1-57-57,0
485211948-714891550_137_2024-7-12-20-2-30,0
92921092-716416738_137_2024-7-14-19-21-24,1
685491150-716995036_447_2024-7-13-16-18-34,0
180024660-639001568_137_2024-7-14-17-18-14,0
249758784-76702186_332_2024-7-12-18-48-31,0
117454759-461820414_137_2024-7-12-19-31-17,1
1431440-442032516_135_2024-7-13-17-35-35,0
571478932-716982579_135_2024-7-14-22-1-3,0
159472501-483920128_301_2024-7-14-21-15-47,0
250518027-10602424_137_2024-7-14-12-24-53,0
26666493-484223373_137_2024-7-13-14-16-31,1
206561305-30794437_823_2024-7-12-21-46-28,0
209668495-699951997_134_2024-7-12-17-33-50,0
84517796-479912858_338_2024-7-12-20-47-56,0
494034231-663022944_301_2024-7-14-22-1-48,0
176447956-483001018_137_2024-7-12-15-14-37,1
184515612-30705844_447_2024-7-12-22-3-58,0
489036597-126017632_137_2024-7-13-14-39-36,0
167729464-717192716_137_2024-7-12-23-26-17,0
593146357-716171967_134_2024-7-13-6-41-12,0
746130769-717152018_134_2024-7-15-4-35-10,0
128450240-666701046_137_2024-7-12-19-28-16,0
218497581-442953706_137_2024-7-14-1-42-40,0
138793518-436176322_301_2024-7-14-21-57-56,0
426818961-715584252_137_2024-7-13-17-47-49,0
710538019-636726924_134_2024-7-13-16-31-57,0
125782953-700733982_134_2024-7-13-13-23-14,1
756131211-717153026_191_2024-7-13-11-45-39,0
485490911-81739428_178_2024-7-13-12-14-10,0
668115062-717153107_134_2024-7-14-16-43-6,0
445686040-716642397_137_2024-7-13-21-4-34,0
246682580-710075592_103_2024-7-14-7-56-23,1
494034231-663022944_137_2024-7-15-7-17-2,1
142457921-672014721_821_2024-7-14-13-30-47,1
125456896-436506418_137_2024-7-14-20-11-31,0
602131195-717153027_191_2024-7-13-21-49-4,0
26475133-623002228_134_2024-7-14-13-19-32,0
83426566-456003415_332_2024-7-12-18-2-8,0
527454312-716918474_137_2024-7-14-18-15-55,0
212377034-675838130_447_2024-7-12-22-6-22,0
247745395-76003822_134_2024-7-14-9-34-46,0
208315316-636703421_608_2024-7-13-19-40-38,1
24428460-93026494_134_2024-7-13-14-44-4,0
213502882-609752246_137_2024-7-13-4-29-43,0
13576189-649966020_137_2024-7-13-20-4-59,1
138483729-672772406_134_2024-7-13-21-59-12,0
156653377-34101983_137_2024-7-12-17-18-19,0
684541330-130959578_103_2024-7-14-7-31-17,0
664127347-126001022_137_2024-7-13-5-55-0,0
145514051-663838749_134_2024-7-13-23-26-16,0
128498170-76702025_135_2024-7-14-5-16-36,0
513118628-717153016_137_2024-7-15-9-31-45,0
244868371-96226977_137_2024-7-15-5-26-1,0
5782172-79350799_134_2024-7-15-8-21-30,0
76263684-691303374_191_2024-7-13-4-56-57,1
172151450-493021910_137_2024-7-14-13-8-23,0
90448243-464820638_191_2024-7-13-22-10-1,0
78908706-80205833_137_2024-7-13-17-28-7,1
2418246-433036303_137_2024-7-14-18-55-56,0
172473846-630834258_103_2024-7-15-7-45-43,1
36715378-700069309_137_2024-7-15-5-16-4,0
156227313-464044073_137_2024-7-12-20-12-24,0
60885166-715253811_821_2024-7-14-16-40-17,0
99530289-693711304_134_2024-7-12-19-59-20,0
148863856-123002077_137_2024-7-12-23-14-50,0
269823685-716395326_134_2024-7-13-9-11-33,0
519137061-717187696_135_2024-7-12-17-35-47,0
672130974-717153020_103_2024-7-14-9-26-14,0
691527377-717124414_137_2024-7-14-3-26-46,0
16432540-406130315_333_2024-7-12-19-36-43,0
6420468-464059997_447_2024-7-14-12-21-13,0
87495814-403970834_135_2024-7-14-19-18-47,1
146464445-406898111_137_2024-7-14-13-23-27,0
139457070-476001694_137_2024-7-13-12-36-18,0
456806563-715583580_131_2024-7-12-15-8-40,0
370462494-501659328_137_2024-7-13-21-7-5,1
49928220-717193379_137_2024-7-14-8-26-58,1
531340081-716683504_137_2024-7-12-20-57-6,0
185434748-442850792_135_2024-7-13-18-27-42,0
278778506-715573074_137_2024-7-13-14-33-46,0
190785918-484951732_137_2024-7-12-23-32-1,0
547135110-717151989_134_2024-7-13-13-50-30,1
142439943-606040425_137_2024-7-13-20-5-53,1
98419609-433026694_447_2024-7-12-18-7-33,0
579552886-34101303_137_2024-7-12-23-53-27,0
209668495-699951997_134_2024-7-12-16-51-38,0
556545321-717159036_137_2024-7-12-21-57-31,1
141428014-459701645_134_2024-7-15-9-39-3,0
248526047-13744068_134_2024-7-13-23-56-31,1
133128335-663710523_137_2024-7-14-12-24-21,0
191497077-680714146_137_2024-7-13-20-43-17,0
19513119-13629630_103_2024-7-13-13-34-6,1
239286761-675014381_137_2024-7-12-16-30-58,0
115074602-10601413_134_2024-7-12-19-11-5,0
126667671-699940268_137_2024-7-13-16-22-56,0
14404961-403855035_137_2024-7-14-12-5-56,0
49473289-620015666_134_2024-7-13-15-53-10,1
558455187-716937986_137_2024-7-14-3-24-44,0
436233144-33702944_137_2024-7-14-19-24-51,0
30459685-470124704_134_2024-7-15-9-45-48,0
200532035-15001147_134_2024-7-14-9-32-25,1
211649976-34103324_137_2024-7-13-7-11-51,1
49928220-717193379_137_2024-7-14-6-10-41,0
220246536-484130157_134_2024-7-14-22-26-38,0
223746274-76019124_173_2024-7-12-15-29-31,0
154454794-633008172_301_2024-7-14-21-22-38,0
767450090-716876501_137_2024-7-13-15-25-18,0
213303796-606714935_608_2024-7-13-15-41-5,0
570533196-717179530_135_2024-7-14-21-49-51,0
283036802-126001728_823_2024-7-13-21-37-9,0
115455542-624716790_137_2024-7-13-12-36-55,1
62394505-436014666_134_2024-7-14-11-36-40,0
69516094-21703632_331_2024-7-12-23-50-16,0
562455016-716938052_137_2024-7-14-1-59-22,0
113433411-453001942_137_2024-7-14-18-51-32,0
320054887-130959916_134_2024-7-14-12-25-26,0
216497412-695901611_134_2024-7-13-9-30-46,0
531134410-717153011_191_2024-7-12-15-7-32,0
53456449-620029666_137_2024-7-15-0-4-4,0
209756784-43007242_137_2024-7-13-12-4-26,0
437234139-406841274_130_2024-7-13-20-36-16,1
517449512-716878750_135_2024-7-14-18-17-44,0
568038961-715890851_137_2024-7-13-8-52-27,0
761555892-128001062_134_2024-7-12-15-53-2,0
46435699-406879723_137_2024-7-13-17-27-47,0
473405502-715298605_137_2024-7-14-16-17-41,0
248526047-13744068_135_2024-7-12-20-30-17,0
136486429-675795599_137_2024-7-13-17-47-44,0
117454759-461820414_137_2024-7-14-19-1-20,0
4500590-692901616_134_2024-7-13-10-25-4,1
395786981-717151907_191_2024-7-14-20-0-57,0
513448857-716876547_103_2024-7-14-11-45-2,1
182060611-620002097_435_2024-7-14-17-8-7,0
684522356-717124338_137_2024-7-13-18-17-22,0
205500987-483956003_134_2024-7-13-22-58-44,0
684522356-717124338_137_2024-7-15-7-7-39,1
76823342-711226631_103_2024-7-15-7-47-15,0
474256848-639004042_301_2024-7-14-21-22-55,0
193746968-40006954_173_2024-7-13-18-0-31,0
95538438-480706974_134_2024-7-14-11-35-43,0
655551196-43413248_134_2024-7-14-12-28-27,0
53456449-620029666_134_2024-7-14-10-28-34,1
516534015-442009406_131_2024-7-12-14-56-2,1
40062792-630068883_333_2024-7-12-20-0-39,0
685478875-716982571_135_2024-7-12-23-30-52,0
73004710-406001126_134_2024-7-15-9-29-38,0
177430766-459013934_134_2024-7-13-14-14-31,0
556456718-716937970_137_2024-7-15-3-12-4,0
558455187-716937986_137_2024-7-13-9-55-52,1
579552886-34101303_137_2024-7-12-23-9-43,0
209513857-12976923_134_2024-7-13-19-27-4,0
487786331-717151946_191_2024-7-13-17-25-52,0
21650239-710008970_137_2024-7-13-17-25-27,0
159415133-406704163_137_2024-7-12-15-54-18,0
128034518-24005396_135_2024-7-14-11-56-46,1
148863856-123002077_131_2024-7-12-14-46-41,0
225414483-433010462_134_2024-7-13-20-1-20,1
172518311-464972786_134_2024-7-14-21-39-42,0
556456718-716937970_137_2024-7-15-3-48-52,1
145097205-439041302_447_2024-7-13-19-31-9,0
125447875-461810079_137_2024-7-13-5-38-58,0
136504030-7701816_137_2024-7-14-20-55-16,0
198498773-36002961_137_2024-7-12-16-45-54,0
200448864-483733109_608_2024-7-13-23-52-22,1
101411287-404001714_134_2024-7-14-21-20-0,0
240642401-699875811_447_2024-7-13-15-55-11,0
722131212-717151953_191_2024-7-14-19-46-57,0
716447431-126026997_137_2024-7-14-19-55-24,0
684522356-717124338_137_2024-7-15-3-19-56,0
158502652-690604319_134_2024-7-13-10-13-25,0
221441694-480746785_135_2024-7-14-2-41-6,0
193496222-692901317_137_2024-7-13-8-48-21,1
1442318-710030156_134_2024-7-13-12-25-54,1
18643757-484175482_821_2024-7-13-14-32-14,1
110034022-680736407_134_2024-7-13-13-47-3,0
521448412-716878862_182_2024-7-12-16-23-34,0
24450238-630003280_137_2024-7-14-17-25-41,0
241020898-623701690_137_2024-7-13-14-0-17,0
83442821-606040449_137_2024-7-12-19-34-20,0
221478022-660701377_134_2024-7-12-16-28-58,0
388785385-717151924_134_2024-7-12-21-59-15,0
4500590-692901616_137_2024-7-13-17-44-42,0
72463740-442708060_137_2024-7-14-12-1-41,1
9063276-130962374_134_2024-7-12-23-51-43,0
241020898-623701690_435_2024-7-14-16-46-11,0
18643757-484175482_821_2024-7-12-15-17-43,0
123921912-70733128_182_2024-7-12-17-39-3,1
102459818-646082817_134_2024-7-15-0-28-48,0
200532035-15001147_134_2024-7-14-11-14-30,0
125065204-490701159_137_2024-7-12-21-6-55,1
87497061-436037225_1031_2024-7-14-19-30-17,0
177430766-459013934_823_2024-7-12-19-7-19,0
209668495-699951997_447_2024-7-13-12-6-41,0
532529012-660754012_137_2024-7-14-13-9-59,0
221434089-461791906_134_2024-7-13-17-3-17,0
585132374-459001755_137_2024-7-12-20-6-11,0
517449512-716878750_137_2024-7-14-17-55-32,0
172151450-493021910_821_2024-7-13-19-50-0,0
256669477-79003936_137_2024-7-13-21-28-33,0
5486224-624741249_134_2024-7-14-21-5-2,0
193445902-483084308_134_2024-7-13-10-24-32,0
280158755-501269733_134_2024-7-14-20-0-24,0
192426715-456002038_821_2024-7-13-14-0-9,0
228284910-649701269_137_2024-7-13-13-58-5,0
192526277-490701323_447_2024-7-12-19-4-59,0
127091272-476814418_137_2024-7-13-17-29-55,0
371049697-123013625_134_2024-7-14-21-50-37,0
77192191-400001939_134_2024-7-14-1-25-42,0
145215768-459701348_137_2024-7-14-17-27-59,0
398923943-483002818_177_2024-7-13-13-37-37,0
167265939-453104438_136_2024-7-12-18-28-6,0
169425211-406001866_608_2024-7-13-21-43-38,0
89471877-620015351_134_2024-7-13-11-55-15,0
113433411-453001942_134_2024-7-14-14-22-7,0
492809005-715583576_103_2024-7-13-20-19-10,1
201501683-633867467_130_2024-7-15-7-42-4,1
249941724-712805090_447_2024-7-12-18-33-20,1
579210989-710001480_134_2024-7-12-20-15-53,0
579552886-34101303_134_2024-7-13-21-55-4,0
138483729-672772406_134_2024-7-14-22-42-57,0
114535150-50019454_131_2024-7-14-21-40-35,0
172151450-493021910_821_2024-7-14-18-43-21,0
210112524-436048855_137_2024-7-14-18-30-58,1
236417964-493701181_137_2024-7-14-20-29-38,0
532529012-660754012_447_2024-7-13-20-2-7,1
235477255-606004404_137_2024-7-14-7-53-27,1
79504269-3004071_137_2024-7-13-12-3-49,0
316054148-130943353_137_2024-7-14-16-50-44,0
506045671-120767660_137_2024-7-13-18-51-34,0
7445911-483705554_137_2024-7-12-18-27-39,0
198407509-606732721_137_2024-7-14-9-3-32,0
63493550-126001218_134_2024-7-12-14-27-32,0
728504856-717073046_134_2024-7-13-5-39-36,0
89471877-620015351_447_2024-7-14-21-1-42,1
102600523-715324300_137_2024-7-13-18-8-0,0
166180031-620016126_103_2024-7-13-14-29-9,1
35613772-484120904_137_2024-7-13-15-56-8,1
201350235-10602551_103_2024-7-14-19-23-1,0
173921112-110014132_134_2024-7-13-19-36-37,0
208315316-636703421_103_2024-7-15-6-22-47,0
104816677-50004491_301_2024-7-14-21-54-34,0
232505125-483956185_134_2024-7-13-22-48-24,0
167117585-497701558_135_2024-7-13-20-31-21,0
274148662-714518535_137_2024-7-14-0-14-44,0
187431459-456779161_137_2024-7-14-10-7-14,0
235414387-433029254_134_2024-7-13-15-8-38,0
72463740-442708060_134_2024-7-13-10-15-50,0
23498330-691303642_103_2024-7-13-11-0-39,0
134527512-490715269_136_2024-7-12-17-44-55,0
196517429-683701702_135_2024-7-13-19-27-51,0
91660189-484216755_103_2024-7-12-23-6-57,0
118651259-79007058_134_2024-7-13-20-43-58,0
244619018-699830461_137_2024-7-12-18-2-36,0
354049363-717186777_137_2024-7-12-18-28-40,0
74107140-15081866_135_2024-7-13-17-33-31,0
167456483-600706607_137_2024-7-14-12-0-49,0
752407223-716703155_134_2024-7-13-13-16-12,0
4627645-70031533_178_2024-7-14-18-1-10,0
75702638-717169639_137_2024-7-13-19-43-7,1
690524015-717124413_137_2024-7-14-15-27-25,1
36839477-710698148_137_2024-7-14-13-41-13,0
37653401-484204297_137_2024-7-13-6-38-27,0
221422261-639001226_137_2024-7-12-18-8-50,0
136504030-7701816_103_2024-7-14-6-49-38,0
685478875-716982571_135_2024-7-14-9-38-31,0
245452593-80659168_137_2024-7-14-17-13-25,0
370462494-501659328_137_2024-7-13-21-32-29,0
321054828-716495553_134_2024-7-14-10-16-9,0
595212426-716638775_435_2024-7-14-16-25-39,1
102634232-699850539_137_2024-7-14-18-32-21,0
354049363-717186777_103_2024-7-13-21-9-3,0
50280193-456001355_821_2024-7-12-15-38-12,0
89597157-717146451_134_2024-7-13-18-13-55,0
240642401-699875811_137_2024-7-14-17-16-51,0
92570563-465156092_137_2024-7-12-18-5-2,1
684522356-717124338_137_2024-7-15-3-29-32,0
469872190-715644072_134_2024-7-13-7-14-27,0
86722829-700093733_137_2024-7-12-21-55-57,0
557458531-716937979_137_2024-7-13-5-56-17,1
684522356-717124338_137_2024-7-15-8-17-27,0
506863760-715640710_175_2024-7-12-16-56-29,0
255444072-400119811_301_2024-7-14-21-45-14,0
4627645-70031533_135_2024-7-13-19-25-35,0
692523085-717124415_137_2024-7-14-0-40-50,0
41477448-409923632_137_2024-7-12-23-48-42,0
686474840-716982573_135_2024-7-14-9-38-20,0
24072160-464043883_301_2024-7-14-21-28-10,0
709509385-717076552_137_2024-7-12-14-46-59,1
124833022-710688295_176_2024-7-12-22-38-22,0
741538481-43001591_137_2024-7-12-16-6-32,0
109656483-699919394_134_2024-7-14-13-35-46,0
226096767-490725133_137_2024-7-13-12-2-49,0
165432853-649007602_134_2024-7-13-19-52-9,0
238428447-715402945_823_2024-7-13-17-1-2,0
186751926-43006743_137_2024-7-14-20-44-21,0
229036170-606705122_134_2024-7-13-16-58-49,1
52184065-99001600_134_2024-7-12-16-3-33,0
579552886-34101303_137_2024-7-14-12-7-55,1
110034022-680736407_137_2024-7-12-17-19-59,1
50930665-717193378_135_2024-7-14-5-13-24,0
233776427-34602546_130_2024-7-13-19-49-42,1
238428447-715402945_823_2024-7-14-15-30-29,0
81453270-480704137_103_2024-7-14-3-22-13,0
534522052-717105915_134_2024-7-12-17-42-42,0
167117585-497701558_103_2024-7-12-14-38-2,0
648493829-717028976_134_2024-7-13-14-59-40,0
525178023-717144796_137_2024-7-13-18-55-39,0
63493550-126001218_134_2024-7-12-18-29-33,0
436233144-33702944_137_2024-7-13-1-33-23,0
569448923-456749709_447_2024-7-14-20-51-48,0
24751702-711412096_137_2024-7-13-13-54-29,0
76823342-711226631_821_2024-7-13-16-48-26,0
221448568-483856664_103_2024-7-13-9-3-27,0
178489510-660703981_134_2024-7-13-13-12-26,0
88412596-6026126_137_2024-7-12-19-1-36,0
92415719-21769366_134_2024-7-13-23-19-50,0
51928593-717193380_137_2024-7-14-4-5-51,0
444036245-126001395_301_2024-7-14-21-31-15,0
162191038-406737805_134_2024-7-14-12-42-28,1
93518821-34155135_134_2024-7-14-13-44-34,0
709509385-717076552_134_2024-7-12-15-35-56,1
84517796-479912858_103_2024-7-13-22-55-4,0
81420111-436244891_433_2024-7-13-23-42-50,1
238593291-24841457_134_2024-7-12-22-6-12,1
761555892-128001062_137_2024-7-13-13-9-11,0
102634232-699850539_137_2024-7-15-0-33-1,1
224443495-403802254_137_2024-7-12-23-20-19,0
489036597-126017632_137_2024-7-13-13-11-14,0
20069751-120758717_107_2024-7-14-16-15-16,1
172532556-33002013_137_2024-7-12-17-34-54,1
103453960-30702530_134_2024-7-14-12-55-49,0
142519997-7789633_137_2024-7-12-19-54-12,0
35613772-484120904_134_2024-7-14-14-3-55,0
193746968-40006954_447_2024-7-12-15-8-30,0
221441694-480746785_135_2024-7-13-17-18-6,0
757443829-716761436_331_2024-7-12-19-9-1,1
60885166-715253811_821_2024-7-14-18-47-31,0
161441846-480701776_137_2024-7-13-6-59-59,1
690524015-717124413_137_2024-7-14-15-30-40,0
630546530-717114360_134_2024-7-14-0-57-56,0
